(0, array([ 0.35414988], dtype=float32), array([ 0.74381042], dtype=float32))
(20, array([ 0.21234252], dtype=float32), array([ 0.59289247], dtype=float32))
(40, array([ 0.20284368], dtype=float32), array([ 0.59836245], dtype=float32))
(60, array([ 0.20065519], dtype=float32), array([ 0.59962273], dtype=float32))
(80, array([ 0.20015098], dtype=float32), array([ 0.59991312], dtype=float32))
(100, array([ 0.2000348], dtype=float32), array([ 0.59998], dtype=float32))
(120, array([ 0.20000802], dtype=float32), array([ 0.59999537], dtype=float32))
(140, array([ 0.20000185], dtype=float32), array([ 0.59999895], dtype=float32))
(160, array([ 0.20000046], dtype=float32), array([ 0.59999979], dtype=float32))
(180, array([ 0.20000018], dtype=float32), array([ 0.5999999], dtype=float32))
(200, array([ 0.20000018], dtype=float32), array([ 0.5999999], dtype=float32))
(220, array([ 0.20000018], dtype=float32), array([ 0.5999999], dtype=float32))
(240, array([ 0.20000018], dtype=float32), array([ 0.5999999], dtype=float32))
(260, array([ 0.20000018], dtype=float32), array([ 0.5999999], dtype=float32))
(280, array([ 0.20000018], dtype=float32), array([ 0.5999999], dtype=float32))
(300, array([ 0.20000018], dtype=float32), array([ 0.5999999], dtype=float32))
(320, array([ 0.20000018], dtype=float32), array([ 0.5999999], dtype=float32))
(340, array([ 0.20000018], dtype=float32), array([ 0.5999999], dtype=float32))
(360, array([ 0.20000018], dtype=float32), array([ 0.5999999], dtype=float32))
(380, array([ 0.20000018], dtype=float32), array([ 0.5999999], dtype=float32))
(400, array([ 0.20000018], dtype=float32), array([ 0.5999999], dtype=float32))
(420, array([ 0.20000018], dtype=float32), array([ 0.5999999], dtype=float32))
(440, array([ 0.20000018], dtype=float32), array([ 0.5999999], dtype=float32))
(460, array([ 0.20000018], dtype=float32), array([ 0.5999999], dtype=float32))
(480, array([ 0.20000018], dtype=float32), array([ 0.5999999], dtype=float32))
(500, array([ 0.20000018], dtype=float32), array([ 0.5999999], dtype=float32))
